id	isolate	source	species	aspA	glnA	gltA	glyA	pgm	tkt	uncA
1	P09	goat	Campylobacter jejuni	4	7	10	1	1	7	1
2	P12	human stool	Campylobacter jejuni	4	7	51	4	1	7	1
3	P18	human stool	Campylobacter jejuni	3	2	5	10	11	11	6
4	P22	human stool	Campylobacter jejuni	10	11	16	7	10	5	7
5	P26	pig	Campylobacter jejuni	7	2	5	2	10	3	6
6	P27	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
7	P31	human stool	Campylobacter jejuni	8	10	2	2	14	12	6
8	P33	human stool	Campylobacter jejuni	4	7	2	4	1	7	1
9	P43	human stool	Campylobacter jejuni	1	6	22	24	12	7	1
10	P55	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
11	P57	human stool	Campylobacter jejuni	48	7	10	4	1	7	1
12	P58	human stool	Campylobacter jejuni	2	59	4	38	17	12	35
13	PS02	calf	Campylobacter jejuni	2	1	1	3	2	1	5
14	PS11	human stool	Campylobacter jejuni	9	2	55	62	4	5	6
15	PS16		Campylobacter jejuni	6	4	13	2	2	1	5
16	PS19	human stool	Campylobacter jejuni	1	3	6	4	3	3	6
17	3157	human stool	Campylobacter jejuni	9	2	4	6	4	5	6
18	2475	human stool	Campylobacter jejuni	9	2	4	6	4	5	6
19	313	human stool	Campylobacter jejuni	2	1	13	3	2	1	5
20	309	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5
21	3618	human stool	Campylobacter jejuni	2	1	5	3	2	4	5
22	2167	human stool	Campylobacter jejuni	2	1	5	3	2	1	5
23	2248	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
24	3201	human stool	Campylobacter jejuni	1	3	6	4	3	3	3
25	78969	sand (bathing beach)	Campylobacter jejuni	1	5	9	5	8	8	2
26	GB2	human stool	Campylobacter jejuni	1	3	6	4	3	3	3
27	GB17	human stool	Campylobacter jejuni	2	4	1	2	73	1	5
28	1429	chicken	Campylobacter jejuni	4	7	10	1	1	7	1
29	P17		Campylobacter jejuni	14	18	5	2	11	3	6
30	P37	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
31	P53		Campylobacter jejuni	64	19	20	77	94	54	16
32	GB1	human stool	Campylobacter jejuni	8	1	17	3	16	1	1
33	304	chicken offal or meat	Campylobacter jejuni	2	1	5	3	2	1	5
34	307	human stool	Campylobacter jejuni	2	1	5	3	2	1	5
35	336	human stool	Campylobacter jejuni	2	1	6	9	11	1	14
36	321	human stool	Campylobacter jejuni	2	20	12	3	2	1	5
37	322	human stool	Campylobacter jejuni	2	1	2	3	2	1	10
38	333	chicken offal or meat	Campylobacter jejuni	2	1	12	3	17	1	5
39	335	human stool	Campylobacter jejuni	2	15	11	6	17	12	5
40	327	human stool	Campylobacter jejuni	2	16	2	2	6	1	5
41	1741	human stool	Campylobacter jejuni	1	4	19	2	6	3	17
42	1744	human stool	Campylobacter jejuni	7	17	2	2	18	3	6
43	1835	human stool	Campylobacter jejuni	2	4	2	2	6	1	5
44	GB24	human stool	Campylobacter jejuni	2	3	2	11	19	3	6
45	GB27	human stool	Campylobacter jejuni	2	1	1	3	1	1	3
46	P41	gazelle	Campylobacter jejuni	16	2	16	62	3	9	8
47	108980027	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
48	NCTC11168	human stool	Campylobacter jejuni	2	1	5	3	4	1	5
49	161H	chicken	Campylobacter jejuni	8	1	6	3	2	1	1
50	1997-1591	human stool	Campylobacter jejuni	1	3	6	4	3	3	3
51	41239B	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52	BCH1204	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
53	943	chicken	Campylobacter jejuni	2	21	5	3	2	1	5
54	1997-1423	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
55	BJ1	human stool	Campylobacter jejuni	2	1	1	5	2	1	5
56	5029	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
57	11Cj	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
58	Cy6412	cattle	Campylobacter jejuni	2	4	1	2	7	1	5
59	4039	cattle	Campylobacter jejuni	4	7	10	4	1	7	1
60	BT27/98	cattle	Campylobacter jejuni	4	7	10	4	1	7	1
61	C196/1	chicken	Campylobacter jejuni	3	1	5	17	11	11	6
62	SVS 5051	chicken	Campylobacter jejuni	2	1	1	3	2	1	5
63	160H	chicken	Campylobacter jejuni	7	17	2	15	23	3	12
64	C2143	chicken	Campylobacter jejuni	9	25	2	10	22	3	6
65	5001	potable/drinking water	Campylobacter jejuni	2	1	21	3	2	1	5
66	LP83/98		Campylobacter jejuni	17	2	9	5	24	2	4
67	C13010	human stool	Campylobacter jejuni	1	4	2	16	6	3	17
68	CKH3	human stool	Campylobacter jejuni	18	22	22	18	25	17	16
69	4137	cattle	Campylobacter jejuni	10	23	16	19	6	18	7
70	133f/98	sheep	Campylobacter jejuni	9	25	2	10	22	3	6
71	1589	cattle	Campylobacter jejuni	1	4	2	2	6	3	17
72	16937	cattle	Campylobacter jejuni	19	24	23	20	26	16	15
73	C356	chicken	Campylobacter jejuni	2	1	21	3	2	1	5
74	LMG8843	human stool	Campylobacter jejuni	20	26	24	21	27	19	18
75	GB15	human stool	Campylobacter jejuni	9	17	2	10	22	3	6
76	GB22	human stool	Campylobacter jejuni	1	6	15	24	12	28	1
77	PS3	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
78	3616	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5
79	323	chicken offal or meat	Campylobacter jejuni	2	15	4	6	17	12	19
80	3109	chicken offal or meat	Campylobacter jejuni	4	7	10	1	1	7	1
81	1951	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5
82	2473	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	25	5
83	3105	chicken offal or meat	Campylobacter jejuni	4	7	10	4	32	7	6
84	79201	sand (bathing beach)	Campylobacter jejuni	2	1	27	3	33	1	5
85	79203	sand (bathing beach)	Campylobacter jejuni	2	1	1	5	2	1	5
86	79228	sand (bathing beach)	Campylobacter jejuni	1	7	10	4	1	7	1
87	2526	chicken offal or meat	Campylobacter jejuni	22	15	4	64	17	1	35
88	1441	cattle	Campylobacter jejuni	1	4	2	2	29	3	20
89	79199	sand (bathing beach)	Campylobacter jejuni	21	2	9	5	30	23	21
90	79176	sand (bathing beach)	Campylobacter jejuni	17	1	4	5	6	2	4
91	3615	cows milk	Campylobacter jejuni	2	1	1	3	20	1	5
92	1434	chicken	Campylobacter jejuni	2	1	1	3	20	20	5
93	2656	chicken offal or meat	Campylobacter jejuni	4	7	10	4	31	1	1
94	3779	human stool	Campylobacter jejuni	1	3	6	4	9	3	3
95	3748	human stool	Campylobacter jejuni	2	4	1	2	7	7	5
96	79125	sand (bathing beach)	Campylobacter jejuni	1	6	7	2	8	6	3
97	79260	sand (bathing beach)	Campylobacter jejuni	17	2	8	5	8	2	4
98	MF6	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
99	MF7	human stool	Campylobacter jejuni	10	27	43	7	6	18	7
100	GB14	human stool	Campylobacter jejuni	2	1	5	3	2	1	5
101	GB25	human stool	Campylobacter jejuni	7	2	6	10	10	37	1
102	P10	human stool	Campylobacter jejuni	2	4	27	25	11	3	5
103	PS4		Campylobacter jejuni	2	4	5	2	2	1	5
104	PS8	human stool	Campylobacter jejuni	6	4	12	3	2	1	5
105	P42	human stool	Campylobacter jejuni	4	7	10	4	36	28	1
106	P06	human stool	Campylobacter jejuni	4	7	10	55	42	51	1
107	3897	human stool	Campylobacter jejuni	2	1	1	3	2	27	5
108	79178	sand (bathing beach)	Campylobacter jejuni	23	4	1	2	6	3	5
109	1426	duck	Campylobacter jejuni	2	15	28	26	38	29	23
110	1529	human stool	Campylobacter jejuni	1	4	2	2	6	3	6
111	1564	human stool	Campylobacter jejuni	1	4	2	2	6	3	6
112	1715	human stool	Campylobacter jejuni	1	4	2	2	6	3	6
113	2017	human stool	Campylobacter jejuni	1	4	2	2	6	3	6
114	2035	human stool	Campylobacter jejuni	1	4	2	2	6	3	6
115	3222	human stool	Campylobacter jejuni	1	4	2	2	6	3	6
116	3827	human stool	Campylobacter jejuni	1	4	2	2	6	3	6
117	79202	sand (bathing beach)	Campylobacter jejuni	2	1	1	5	2	1	5
118	3110	chicken offal or meat	Campylobacter jejuni	4	7	10	1	1	1	1
119	3188	chicken offal or meat	Campylobacter jejuni	1	7	10	4	1	7	1
120	2601	chicken offal or meat	Campylobacter jejuni	2	4	5	2	2	30	5
121	1436	chicken	Campylobacter jejuni	4	7	10	4	1	1	1
122	79238	sand (bathing beach)	Campylobacter jejuni	2	32	1	2	7	1	5
